CustID,CustomerSegment,AccountStatus
A168,Existing Customers,Account Opened
A169,Existing Customers,Remote Check Deposit
A170,New to Bank,Account Opened
A171,Existing Customers,Credit Card Issued
A172,New to Bank,Remote Check Deposit
A173,Existing Customers,Credit Card Issued
A174,Existing Customers,Update Contact Info
A175,New to Bank,Remote Check Deposit
A176,Existing Customers,Account Opened
A177,Existing Customers,Account Funded
A178,Existing Customers,Credit Card Issued
A179,New to Bank,Account Funded
A180,New to Bank,Account Funded
A181,Existing Customers,Credit Card Issued
A182,Existing Customers,Remote Check Deposit
A183,Existing Customers,Update Contact Info
A184,Existing Customers,Remote Check Deposit
A185,New to Bank,Account Opened
A186,New to Bank,Update Contact Info
A187,Existing Customers,Mobile App Downloaded
A188,Existing Customers,Update Contact Info
A189,New to Bank,Credit Card Issued
A190,Existing Customers,Remote Check Deposit
A191,New to Bank,Mobile App Downloaded
A192,Existing Customers,Credit Card Issued
A193,New to Bank,Update Contact Info
A194,Existing Customers,Remote Check Deposit
A195,Existing Customers,Update Contact Info
A196,Existing Customers,Remote Check Deposit
A197,Existing Customers,Mobile App Downloaded
A198,New to Bank,Update Contact Info
A199,New to Bank,Account Opened
A200,New to Bank,Direct Deposit
